laptop_ID,Company,TypeName,Inches,DisplayType,ResolutionWidth,ResolutionHeight,CpuBrand,CpuType,CpuClockSpeed_GHz,Ram,Ram_GB,Memory,PrimaryMemory,SecondaryMemory,MemorySize_GB,Gpu,Gpu_Brand,OpSys,Weight_kg,Price_euros
52,Acer,Notebook,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce MX150,Nvidia,Windows 10,2.2,841.0
53,HP,Notebook,15.6,Full HD,1920,1080,AMD,A6,2.5,4GB,4,256GB SSD,SSD,None,256.0,AMD Radeon R4 Graphics,AMD,Windows 10,1.86,398.49
54,HP,Notebook,13.3,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,512GB SSD,SSD,None,512.0,Intel UHD Graphics 620,Intel,Windows 10,1.49,1103.0
55,Acer,Notebook,15.6,,1366,768,Intel,Core i3,2.4,4GB,4,1TB HDD,HDD,None,1000.0,Intel HD Graphics 620,Intel,Windows 10,2.4,384.0
56,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,AMD Radeon 520,AMD,Windows 10,2.13,767.8
57,HP,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,128GB SSD,SSD,None,128.0,Intel HD Graphics 520,Intel,Windows 10,1.91,439.0
58,Asus,Notebook,15.6,,1366,768,Intel,Core i5,2.5,4GB,4,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,2.0,586.19
59,MSI,Gaming,17.3,Full HD,1920,1080,Intel,Core i7,2.8,16GB,16,256GB SSD +  2TB HDD,SSD,HDD,2256.0,Nvidia GeForce GTX 1070,Nvidia,Windows 10,2.43,2449.0
60,Asus,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,256GB SSD,SSD,None,256.0,Intel HD Graphics 520,Intel,Linux,2.0,415.0
61,Dell,Notebook,17.3,Full HD,1920,1080,Intel,Core i7,1.8,16GB,16,256GB SSD +  2TB HDD,SSD,HDD,2256.0,AMD Radeon 530,AMD,Windows 10,2.8,1299.0
62,Dell,Ultrabook,14.0,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.7,879.0
63,Lenovo,Notebook,14.0,IPS Panel Full HD,1920,1080,Intel,Core i3,2.7,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,No OS,1.7,599.0
64,Asus,Notebook,14.0,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.4,941.0
66,HP,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.86,690.0
67,Asus,Ultrabook,15.6,Full HD,1920,1080,Intel,Core i7,2.8,16GB,16,512GB SSD,SSD,None,512.0,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows 10,1.8,1983.0
68,HP,Notebook,15.6,,1366,768,Intel,Core i3,2.0,4GB,4,500GB HDD,HDD,None,500.0,AMD Radeon 520,AMD,Windows 10,1.86,438.69
69,HP,Notebook,14.0,,1366,768,Intel,Celeron,1.6,4GB,4,32GB SSD,SSD,None,32.0,Intel HD Graphics 400,Intel,Windows 10,1.44,229.0
70,Lenovo,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,4GB,4,1TB HDD,HDD,None,1000.0,Intel HD Graphics 620,Intel,Windows 10,1.9,549.0
71,Asus,Gaming,17.3,Full HD,1920,1080,Intel,Core i7,2.8,12GB,12,1TB HDD,HDD,None,1000.0,Nvidia GeForce GTX 1050 Ti,Nvidia,Linux,3.0,949.0
72,Microsoft,Ultrabook,13.5,Touchscreen,2256,1504,Intel,Core i5,2.5,4GB,4,128GB SSD,SSD,None,128.0,Intel HD Graphics 620,Intel,Windows 10 S,1.252,1089.0
73,Dell,Ultrabook,13.3,IPS Panel Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,AMD Radeon 530,AMD,Windows 10,1.4,955.0
74,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,AMD Radeon 530,AMD,Windows 10,2.2,870.0
75,MSI,Gaming,17.3,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,2.7,1095.0
76,Acer,Notebook,14.0,,1366,768,Intel,Core i3,2.0,8GB,8,1TB HDD,HDD,None,1000.0,Intel HD Graphics 520,Intel,Windows 10,2.1,389.0
77,Asus,Gaming,15.6,Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,1TB HDD,HDD,None,1000.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,2.2,949.0
78,Lenovo,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,2TB HDD,HDD,None,2000.0,Intel HD Graphics 620,Intel,No OS,2.2,519.0
79,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Intel UHD Graphics 620,Intel,Windows 10,2.02,855.0
80,Acer,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.7,4GB,4,1TB HDD,HDD,None,1000.0,Nvidia GeForce MX130,Nvidia,Windows 10,2.2,530.0
81,HP,Notebook,17.3,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce 930MX,Nvidia,Windows 10,2.5,977.0
82,Dell,Ultrabook,15.6,IPS Panel Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.88,1096.16
83,Apple,Ultrabook,12.0,IPS Panel Retina Display,2304,1440,Intel,Core i5,1.3,8GB,8,512GB SSD,SSD,None,512.0,Intel HD Graphics 615,Intel,macOS,0.92,1510.0
84,HP,Notebook,14.0,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.63,860.0
85,Lenovo,Notebook,15.6,Full HD,1920,1080,AMD,A6,2.5,4GB,4,128GB SSD,SSD,None,128.0,AMD R4 Graphics,AMD,Windows 10,2.2,399.0
86,Acer,Notebook,15.6,,1366,768,AMD,A9,3.0,4GB,4,1TB HDD,HDD,None,1000.0,AMD Radeon R5,AMD,Windows 10,2.1,395.0
87,Dell,Gaming,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,2.8,16GB,16,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows 10,2.65,1349.0
88,HP,Ultrabook,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce GTX 940MX,Nvidia,Windows 10,1.83,699.0
89,HP,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.96,598.99
90,Asus,Gaming,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,2.8,16GB,16,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 1060,Nvidia,Windows 10,2.2,1449.0
91,Dell,Ultrabook,13.3,IPS Panel Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.21,1649.0
92,Asus,Gaming,15.6,Full HD,1920,1080,AMD,Other,3.0,8GB,8,1TB HDD,HDD,None,1000.0,AMD Radeon RX 560,AMD,Windows 10,2.45,699.0
93,Acer,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,1TB HDD,HDD,None,1000.0,Nvidia GeForce MX150,Nvidia,Windows 10,2.2,689.0
94,HP,Notebook,13.3,Full HD,1920,1080,Intel,Core i7,1.8,16GB,16,512GB SSD,SSD,None,512.0,Intel UHD Graphics 620,Intel,Windows 10,1.49,1197.0
95,Dell,Gaming,15.6,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce GTX 1060,Nvidia,Windows 10,2.65,1195.0
96,Asus,Ultrabook,14.0,Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.25,1049.0
97,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.5,847.0
98,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,1TB HDD,HDD,None,1000.0,AMD Radeon R5 M430,AMD,Linux,2.2,599.9
99,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,256GB SSD,SSD,None,256.0,AMD Radeon R5 M430,AMD,Linux,2.2,485.0
100,Asus,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.4,6GB,6,256GB SSD,SSD,None,256.0,Nvidia GeForce 920M,Nvidia,Windows 10,2.0,577.0
102,HP,Gaming,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,2.8,12GB,12,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,2.62,1249.0
103,HP,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,AMD Radeon 530,AMD,Windows 10,1.91,719.0
104,HP,Notebook,15.6,Full HD,1920,1080,AMD,E-Series,1.5,4GB,4,500GB HDD,HDD,None,500.0,AMD Radeon R2,AMD,Windows 10,2.1,349.0
105,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,1TB HDD,HDD,None,1000.0,AMD Radeon 520,AMD,Linux,2.2,647.0
106,HP,Ultrabook,13.3,IPS Panel Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce MX150,Nvidia,Windows 10,1.38,1119.0
107,Microsoft,Ultrabook,13.5,Touchscreen,2256,1504,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10 S,1.252,1340.0
108,HP,Notebook,14.0,IPS Panel Full HD,1920,1080,Intel,Core i5,2.5,6GB,6,256GB SSD,SSD,None,256.0,Nvidia GeForce 940MX,Nvidia,Windows 10,1.58,659.0
109,Lenovo,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,1TB HDD,HDD,None,1000.0,Intel HD Graphics 520,Intel,Windows 10,1.85,414.9
110,Asus,Ultrabook,14.0,IPS Panel Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce 940MX,Nvidia,Windows 10,1.3,1193.0
111,MSI,Gaming,15.6,Full HD,1920,1080,Intel,Core i7,2.8,16GB,16,256GB SSD +  1TB HDD,SSD,HDD,1256.0,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows 10,2.2,1299.0
112,Lenovo,Notebook,14.0,IPS Panel Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.58,1480.0
113,Asus,Ultrabook,15.6,Full HD,1920,1080,Intel,Core i7,1.8,16GB,16,256GB SSD +  1TB HDD,SSD,HDD,1256.0,Nvidia GeForce MX150,Nvidia,Windows 10,1.5,1262.0
114,Dell,Ultrabook,13.3,Quad HD+ / Touchscreen,3200,1800,Intel,Core i7,2.4,8GB,8,256GB SSD,SSD,None,256.0,Intel Iris Plus Graphics 640,Intel,Windows 10,1.23,1379.0
115,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.37,1399.0
116,HP,Notebook,14.0,IPS Panel,1366,768,Intel,Core i5,1.6,4GB,4,500GB HDD,HDD,None,500.0,Intel UHD Graphics 620,Intel,Windows 10,1.63,722.0
117,Dell,Ultrabook,13.3,IPS Panel Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.21,1629.0
118,HP,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.26,1398.99
119,HP,Notebook,14.0,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,512GB SSD,SSD,None,512.0,Intel UHD Graphics 620,Intel,Windows 10,1.63,1084.0
120,Dell,Notebook,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD +  1TB HDD,SSD,HDD,1256.0,Nvidia GeForce 940MX,Nvidia,Windows 10,2.16,1130.33
121,Asus,Notebook,17.3,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,1TB HDD,HDD,None,1000.0,Nvidia GeForce 920MX,Nvidia,Windows 10,2.0,564.0
122,Asus,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce 940MX,Nvidia,Windows 10,1.7,1118.0
123,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen,1920,1080,Intel,Core i3,2.4,6GB,6,1TB HDD,HDD,None,1000.0,Intel HD Graphics 620,Intel,Windows 10,2.1,479.0
124,MSI,Gaming,15.6,Full HD,1920,1080,Intel,Core i7,2.8,16GB,16,256GB SSD +  2TB HDD,SSD,HDD,2256.0,Nvidia GeForce GTX 1070,Nvidia,Windows 10,1.8,2241.5
125,Lenovo,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce 940MX,Nvidia,No OS,2.2,629.0
126,HP,Notebook,17.3,Full HD,1920,1080,Intel,Core i7,1.8,16GB,16,512GB SSD,SSD,None,512.0,Nvidia GeForce 930MX ,Nvidia,Windows 10,2.5,1271.0
127,Acer,Notebook,15.6,,1366,768,AMD,A9,3.0,4GB,4,256GB SSD,SSD,None,256.0,AMD Radeon R5,AMD,Windows 10,2.1,451.0
128,HP,Notebook,15.6,,1366,768,Intel,Celeron,1.6,4GB,4,500GB HDD,HDD,None,500.0,Intel HD Graphics 400,Intel,No OS,1.86,259.0
129,HP,Notebook,14.0,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,1TB HDD,HDD,None,1000.0,Intel UHD Graphics 620,Intel,Windows 10,1.63,812.0
130,Asus,Notebook,14.0,,1366,768,AMD,E-Series,1.5,4GB,4,64GB SSD,SSD,None,64.0,AMD Radeon R2,AMD,Windows 10 S,1.65,277.99
131,Dell,Notebook,17.3,Full HD,1920,1080,Intel,Core i7,1.8,16GB,16,256GB SSD +  2TB HDD,SSD,HDD,2256.0,AMD Radeon 530,AMD,Windows 10,2.8,1396.0
132,HP,Notebook,17.3,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,2.5,928.0
133,Dell,Notebook,15.6,,1366,768,Intel,Core i5,2.5,8GB,8,1TB HDD,HDD,None,1000.0,AMD Radeon R7 M445,AMD,Windows 10,2.36,638.99
134,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,1TB HDD,HDD,None,1000.0,AMD Radeon R5 M430,AMD,Windows 10,2.2,449.0
135,Acer,Ultrabook,14.0,IPS Panel Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.6,884.0
136,Acer,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.7,4GB,4,256GB SSD,SSD,None,256.0,Nvidia GeForce MX130,Nvidia,Windows 10,2.2,572.0
137,HP,Notebook,15.6,,1366,768,Intel,Core i7,2.7,8GB,8,1TB HDD,HDD,None,1000.0,Intel HD Graphics 620,Intel,Windows 10,2.05,598.0
138,HP,Notebook,14.0,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.63,988.0
139,Lenovo,Notebook,15.6,,1366,768,Intel,Celeron,1.1,4GB,4,1TB HDD,HDD,None,1000.0,Intel HD Graphics 500,Intel,No OS,1.9,252.36
140,Asus,Gaming,17.3,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,3.0,938.0
141,Lenovo,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,4GB,4,1TB HDD,HDD,None,1000.0,Nvidia GeForce 920MX,Nvidia,No OS,2.2,499.0
142,HP,Notebook,13.3,IPS Panel Full HD,1920,1080,Intel,Core i5,2.5,4GB,4,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.32,699.0
