laptop_ID,Company,TypeName,Product,Inches,DisplayType,Touchscreen,IPS Panel,ResolutionWidth,ResolutionHeight,CpuBrand,CpuProduct,CpuClockSpeed_GHz,Ram_GB,PrimaryMemory,SecondaryMemory,PrimaryMemorySize,SecondaryMemorySize,MemorySize_GB,Gpu_Brand,Gpu_Product,OpSys,Weight_kg,Price_euros
14,Dell,Notebook,Inspiron 3567,15.6,Full HD,None,None,1920,1080,Intel,Core i3 6006U,2.0,4,SSD,None,256.0,0.0,256.0,AMD,Radeon R5 M430,Windows 10,2.2,498.9
15,Apple,Ultrabook,"MacBook 12""",12.0,Retina Display,None,Present,2304,1440,Intel,Core M m3,1.2,8,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 615,macOS,0.92,1262.4
16,Apple,Ultrabook,MacBook Pro,13.3,Retina Display,None,Present,2560,1600,Intel,Core i5,2.3,8,SSD,None,256.0,0.0,256.0,Intel,Iris Plus Graphics 640,macOS,1.37,1518.55
17,Dell,Notebook,Inspiron 3567,15.6,Full HD,None,None,1920,1080,Intel,Core i7 7500U,2.7,8,SSD,None,256.0,0.0,256.0,AMD,Radeon R5 M430,Windows 10,2.2,745.0
18,Apple,Ultrabook,MacBook Pro,15.4,Retina Display,None,Present,2880,1800,Intel,Core i7,2.9,16,SSD,None,512.0,0.0,512.0,AMD,Radeon Pro 560,macOS,1.83,2858.0
19,Lenovo,Notebook,IdeaPad 320-15IKB,15.6,Full HD,None,None,1920,1080,Intel,Core i3 7100U,2.4,8,HDD,None,1000.0,0.0,1000.0,Nvidia,GeForce 940MX,No OS,2.2,499.0
20,Dell,Ultrabook,XPS 13,13.3,Full HD,Present,Present,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,None,128.0,0.0,128.0,Intel,UHD Graphics 620,Windows 10,1.22,979.0
21,Asus,Netbook,Vivobook E200HA,11.6,,,,1366,768,Intel,Atom x5-Z8350,1.44,2,FlashStorage,None,32.0,0.0,32.0,Intel,HD Graphics 400,Windows 10,0.98,191.9
22,Lenovo,Gaming,Legion Y520-15IKBN,15.6,Full HD,None,Present,1920,1080,Intel,Core i5 7300HQ,2.5,8,SSD,Present,128.0,1000.0,1128.0,Nvidia,GeForce GTX 1050,Windows 10,2.5,999.0
23,HP,Notebook,255 G6,15.6,,,,1366,768,AMD,E-Series E2-9000e,1.5,4,HDD,None,500.0,0.0,500.0,AMD,Radeon R2,No OS,1.86,258.0
24,Dell,2 in 1 Convertible,Inspiron 5379,13.3,Full HD,Present,None,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,None,256.0,0.0,256.0,Intel,UHD Graphics 620,Windows 10,1.62,819.0
25,HP,Ultrabook,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),15.6,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,8,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 620,Windows 10,1.91,659.0
26,Dell,Notebook,Inspiron 3567,15.6,,,,1366,768,Intel,Core i3 6006U,2.0,4,HDD,None,1000.0,0.0,1000.0,Intel,HD Graphics 520,Windows 10,2.3,418.64
27,Apple,Ultrabook,MacBook Air,13.3,,,,1440,900,Intel,Core i5,1.6,8,FlashStorage,None,128.0,0.0,128.0,Intel,HD Graphics 6000,Mac OS X,1.35,1099.0
28,Dell,Notebook,Inspiron 5570,15.6,Full HD,None,None,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,None,256.0,0.0,256.0,AMD,Radeon 530,Windows 10,2.2,800.0
29,Dell,Ultrabook,Latitude 5590,15.6,Full HD,None,None,1920,1080,Intel,Core i7 8650U,1.9,8,SSD,Present,256.0,256.0,512.0,Intel,UHD Graphics 620,Windows 10,1.88,1298.0
30,HP,Notebook,ProBook 470,17.3,Full HD,None,None,1920,1080,Intel,Core i5 8250U,1.6,8,HDD,None,1000.0,0.0,1000.0,Nvidia,GeForce 930MX,Windows 10,2.5,896.0
31,Chuwi,Notebook,"LapBook 15.6""",15.6,Full HD,None,None,1920,1080,Intel,Atom x5-Z8300,1.44,4,FlashStorage,None,64.0,0.0,64.0,Intel,HD Graphics,Windows 10,1.89,244.99
32,Asus,Notebook,E402WA-GA010T (E2-6110/2GB/32GB/W10),14.0,,,,1366,768,AMD,E-Series E2-6110,1.5,2,FlashStorage,None,32.0,0.0,32.0,AMD,Radeon R2,Windows 10,1.65,199.0
33,HP,Notebook,17-ak001nv (A6-9220/4GB/500GB/Radeon,17.3,Full HD,None,None,1920,1080,AMD,A6-Series 9220,2.5,4,HDD,None,500.0,0.0,500.0,AMD,Radeon 530,Windows 10,2.71,439.0
34,Dell,Ultrabook,XPS 13,13.3,Quad HD+,Present,None,3200,1800,Intel,Core i7 8550U,1.8,16,SSD,None,512.0,0.0,512.0,Intel,UHD Graphics 620,Windows 10,1.2,1869.0
35,Apple,Ultrabook,MacBook Air,13.3,,,,1440,900,Intel,Core i5,1.6,8,FlashStorage,None,256.0,0.0,256.0,Intel,HD Graphics 6000,Mac OS X,1.35,998.0
36,Lenovo,Notebook,IdeaPad 120S-14IAP,14.0,,,,1366,768,Intel,Celeron Dual Core N3350,1.1,4,FlashStorage,None,64.0,0.0,64.0,Intel,HD Graphics 500,Windows 10,1.44,249.0
37,Acer,Notebook,Aspire 3,15.6,,,,1366,768,Intel,Core i3 7130U,2.7,4,HDD,None,1000.0,0.0,1000.0,Intel,HD Graphics 620,Linux,2.1,367.0
38,Dell,Notebook,Inspiron 5770,17.3,Full HD,None,Present,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,Present,128.0,1000.0,1128.0,AMD,Radeon 530,Windows 10,2.8,979.0
39,HP,Notebook,250 G6,15.6,,,,1366,768,Intel,Core i5 7200U,2.5,4,HDD,None,1000.0,0.0,1000.0,Intel,HD Graphics 620,Windows 10,1.86,488.69
40,HP,Notebook,ProBook 450,15.6,Full HD,None,None,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,None,256.0,0.0,256.0,Nvidia,GeForce 930MX ,Windows 10,2.1,879.0
41,Asus,Notebook,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),15.6,Full HD,None,None,1920,1080,Intel,Core i3 6006U,2.0,4,HDD,None,1000.0,0.0,1000.0,Intel,HD Graphics 620,Linux,2.0,389.0
42,Dell,Gaming,Inspiron 7577,15.6,Full HD,None,Present,1920,1080,Intel,Core i7 7700HQ,2.8,16,SSD,Present,256.0,1000.0,1256.0,Nvidia,GeForce GTX 1060,Windows 10,2.65,1499.0
43,Asus,Notebook,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,15.6,,,,1366,768,Intel,Core i5 7200U,2.5,8,HDD,None,1000.0,0.0,1000.0,Nvidia,GeForce 940MX,Linux,2.3,522.99
44,Acer,Notebook,Aspire A515-51G,15.6,Full HD,None,Present,1920,1080,Intel,Core i5 8250U,1.6,4,SSD,None,256.0,0.0,256.0,Intel,UHD Graphics 620,Windows 10,2.2,682.0
45,Dell,2 in 1 Convertible,Inspiron 7773,17.3,Full HD,Present,None,1920,1080,Intel,Core i5 8250U,1.6,12,HDD,None,1000.0,0.0,1000.0,Nvidia,GeForce 150MX,Windows 10,2.77,999.0
46,Apple,Ultrabook,MacBook Pro,13.3,Retina Display,None,Present,2560,1600,Intel,Core i5,2.0,8,SSD,None,256.0,0.0,256.0,Intel,Iris Graphics 540,macOS,1.37,1419.0
47,Lenovo,Notebook,IdeaPad 320-15ISK,15.6,,,,1366,768,Intel,Core i3 6006U,2.0,4,SSD,None,128.0,0.0,128.0,Intel,HD Graphics 520,No OS,2.2,369.0
48,Asus,Gaming,Rog Strix,17.3,Full HD,None,None,1920,1080,AMD,Ryzen 1700,3.0,8,SSD,Present,256.0,1000.0,1256.0,AMD,Radeon RX 580,Windows 10,3.2,1299.0
49,Dell,Notebook,Inspiron 3567,15.6,Full HD,None,None,1920,1080,Intel,Core i5 7200U,2.5,4,SSD,None,256.0,0.0,256.0,AMD,Radeon R5 M430,Windows 10,2.3,639.0
50,Asus,Notebook,X751NV-TY001T (N4200/4GB/1TB/GeForce,17.3,,,,1366,768,Intel,Pentium Quad Core N4200,1.1,4,HDD,None,1000.0,0.0,1000.0,Nvidia,GeForce 920MX,Windows 10,2.8,466.0
51,Lenovo,2 in 1 Convertible,Yoga Book,10.1,,Present,Present,1920,1200,Intel,Atom x5-Z8550,1.44,4,FlashStorage,None,64.0,0.0,64.0,Intel,HD Graphics 400,Android,0.69,319.0
52,Acer,Notebook,Aspire A515-51G,15.6,Full HD,None,Present,1920,1080,Intel,Core i7 8550U,1.8,8,SSD,None,256.0,0.0,256.0,Nvidia,GeForce MX150,Windows 10,2.2,841.0
53,HP,Notebook,255 G6,15.6,Full HD,None,None,1920,1080,AMD,A6-Series 9220,2.5,4,SSD,None,256.0,0.0,256.0,AMD,Radeon R4 Graphics,Windows 10,1.86,398.49
54,HP,Notebook,ProBook 430,13.3,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,8,SSD,None,512.0,0.0,512.0,Intel,UHD Graphics 620,Windows 10,1.49,1103.0
55,Acer,Notebook,Aspire 3,15.6,,,,1366,768,Intel,Core i3 7100U,2.4,4,HDD,None,1000.0,0.0,1000.0,Intel,HD Graphics 620,Windows 10,2.4,384.0
56,Dell,Notebook,Inspiron 3576,15.6,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,8,SSD,None,256.0,0.0,256.0,AMD,Radeon 520,Windows 10,2.13,767.8
57,HP,Notebook,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),15.6,Full HD,None,None,1920,1080,Intel,Core i3 6006U,2.0,4,SSD,None,128.0,0.0,128.0,Intel,HD Graphics 520,Windows 10,1.91,439.0
58,Asus,Notebook,VivoBook Max,15.6,,,,1366,768,Intel,Core i5 7200U,2.5,4,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 620,Windows 10,2.0,586.19
59,MSI,Gaming,GS73VR 7RG,17.3,Full HD,None,None,1920,1080,Intel,Core i7 7700HQ,2.8,16,SSD,Present,256.0,2000.0,2256.0,Nvidia,GeForce GTX 1070,Windows 10,2.43,2449.0
60,Asus,Notebook,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),15.6,Full HD,None,None,1920,1080,Intel,Core i3 6006U,2.0,4,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 520,Linux,2.0,415.0
61,Dell,Notebook,Inspiron 5770,17.3,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,16,SSD,Present,256.0,2000.0,2256.0,AMD,Radeon 530,Windows 10,2.8,1299.0
62,Dell,Ultrabook,Vostro 5471,14.0,Full HD,None,None,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,None,256.0,0.0,256.0,Intel,UHD Graphics 620,Windows 10,1.7,879.0
63,Lenovo,Notebook,IdeaPad 520S-14IKB,14.0,Full HD,None,Present,1920,1080,Intel,Core i3 7130U,2.7,8,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 620,No OS,1.7,599.0
64,Asus,Notebook,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),14.0,Full HD,None,None,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,None,256.0,0.0,256.0,Intel,UHD Graphics 620,Windows 10,1.4,941.0
66,HP,Notebook,250 G6,15.6,Full HD,None,None,1920,1080,Intel,Core i5 7200U,2.5,8,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 620,Windows 10,1.86,690.0
67,Asus,Ultrabook,ZenBook Pro,15.6,Full HD,None,None,1920,1080,Intel,Core i7 7700HQ,2.8,16,SSD,None,512.0,0.0,512.0,Nvidia,GeForce GTX 1050 Ti,Windows 10,1.8,1983.0
68,HP,Notebook,250 G6,15.6,,,,1366,768,Intel,Core i3 6006U,2.0,4,HDD,None,500.0,0.0,500.0,AMD,Radeon 520,Windows 10,1.86,438.69
69,HP,Notebook,Stream 14-AX040wm,14.0,,,,1366,768,Intel,Celeron Dual Core N3060,1.6,4,SSD,None,32.0,0.0,32.0,Intel,HD Graphics 400,Windows 10,1.44,229.0
70,Lenovo,Notebook,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),15.6,Full HD,None,None,1920,1080,Intel,Core i5 7200U,2.5,4,HDD,None,1000.0,0.0,1000.0,Intel,HD Graphics 620,Windows 10,1.9,549.0
71,Asus,Gaming,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,17.3,Full HD,None,None,1920,1080,Intel,Core i7 7700HQ,2.8,12,HDD,None,1000.0,0.0,1000.0,Nvidia,GeForce GTX 1050 Ti,Linux,3.0,949.0
72,Microsoft,Ultrabook,Surface Laptop,13.5,,Present,None,2256,1504,Intel,Core i5 7200U,2.5,4,SSD,None,128.0,0.0,128.0,Intel,HD Graphics 620,Windows 10 S,1.252,1089.0
73,Dell,Ultrabook,Inspiron 5370,13.3,Full HD,None,Present,1920,1080,Intel,Core i7 8550U,1.8,8,SSD,None,256.0,0.0,256.0,AMD,Radeon 530,Windows 10,1.4,955.0
74,Dell,Notebook,Inspiron 5570,15.6,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,8,SSD,None,256.0,0.0,256.0,AMD,Radeon 530,Windows 10,2.2,870.0
75,MSI,Gaming,GL72M 7RDX,17.3,Full HD,None,None,1920,1080,Intel,Core i5 7300HQ,2.5,8,SSD,Present,128.0,1000.0,1128.0,Nvidia,GeForce GTX 1050,Windows 10,2.7,1095.0
76,Acer,Notebook,Aspire E5-475,14.0,,,,1366,768,Intel,Core i3 6006U,2.0,8,HDD,None,1000.0,0.0,1000.0,Intel,HD Graphics 520,Windows 10,2.1,389.0
77,Asus,Gaming,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,15.6,Full HD,None,None,1920,1080,Intel,Core i7 7700HQ,2.8,8,HDD,None,1000.0,0.0,1000.0,Nvidia,GeForce GTX 1050,Windows 10,2.2,949.0
78,Lenovo,Notebook,IdeaPad 320-15IKBN,15.6,Full HD,None,None,1920,1080,Intel,Core i5 7200U,2.5,8,HDD,None,2000.0,0.0,2000.0,Intel,HD Graphics 620,No OS,2.2,519.0
79,Dell,Notebook,Inspiron 5570,15.6,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,8,SSD,Present,128.0,1000.0,1128.0,Intel,UHD Graphics 620,Windows 10,2.02,855.0
80,Acer,Notebook,Aspire A515-51G-32MX,15.6,Full HD,None,None,1920,1080,Intel,Core i3 7130U,2.7,4,HDD,None,1000.0,0.0,1000.0,Nvidia,GeForce MX130,Windows 10,2.2,530.0
81,HP,Notebook,ProBook 470,17.3,Full HD,None,None,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,Present,128.0,1000.0,1128.0,Nvidia,GeForce 930MX,Windows 10,2.5,977.0
82,Dell,Ultrabook,Latitude 5590,15.6,Full HD,None,Present,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,None,256.0,0.0,256.0,Intel,UHD Graphics 620,Windows 10,1.88,1096.16
83,Apple,Ultrabook,"MacBook 12""",12.0,Retina Display,None,Present,2304,1440,Intel,Core i5,1.3,8,SSD,None,512.0,0.0,512.0,Intel,HD Graphics 615,macOS,0.92,1510.0
84,HP,Notebook,ProBook 440,14.0,Full HD,None,None,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 620,Windows 10,1.63,860.0
85,Lenovo,Notebook,IdeaPad 320-15AST,15.6,Full HD,None,None,1920,1080,AMD,A6-Series 9220,2.5,4,SSD,None,128.0,0.0,128.0,AMD,R4 Graphics,Windows 10,2.2,399.0
86,Acer,Notebook,Aspire 3,15.6,,,,1366,768,AMD,A9-Series 9420,3.0,4,HDD,None,1000.0,0.0,1000.0,AMD,Radeon R5,Windows 10,2.1,395.0
87,Dell,Gaming,Inspiron 7577,15.6,Full HD,None,Present,1920,1080,Intel,Core i7 7700HQ,2.8,16,SSD,Present,128.0,1000.0,1128.0,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.65,1349.0
88,HP,Ultrabook,Pavilion 15-CK000nv,15.6,Full HD,None,Present,1920,1080,Intel,Core i7 8550U,1.8,8,SSD,None,256.0,0.0,256.0,Nvidia,GeForce GTX 940MX,Windows 10,1.83,699.0
89,HP,Notebook,250 G6,15.6,Full HD,None,None,1920,1080,Intel,Core i5 7200U,2.5,8,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 620,Windows 10,1.96,598.99
90,Asus,Gaming,FX503VM-E4007T (i7-7700HQ/16GB/1TB,15.6,Full HD,None,Present,1920,1080,Intel,Core i7 7700HQ,2.8,16,SSD,Present,128.0,1000.0,1128.0,Nvidia,GeForce GTX 1060,Windows 10,2.2,1449.0
91,Dell,Ultrabook,XPS 13,13.3,Full HD,None,Present,1920,1080,Intel,Core i7 8550U,1.8,8,SSD,None,256.0,0.0,256.0,Intel,UHD Graphics 620,Windows 10,1.21,1649.0
92,Asus,Gaming,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,15.6,Full HD,None,None,1920,1080,AMD,FX 9830P,3.0,8,HDD,None,1000.0,0.0,1000.0,AMD,Radeon RX 560,Windows 10,2.45,699.0
93,Acer,Notebook,Aspire 5,15.6,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,8,HDD,None,1000.0,0.0,1000.0,Nvidia,GeForce MX150,Windows 10,2.2,689.0
94,HP,Notebook,Probook 430,13.3,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,16,SSD,None,512.0,0.0,512.0,Intel,UHD Graphics 620,Windows 10,1.49,1197.0
95,Dell,Gaming,Inspiron 7577,15.6,Full HD,None,None,1920,1080,Intel,Core i5 7300HQ,2.5,8,SSD,None,256.0,0.0,256.0,Nvidia,GeForce GTX 1060,Windows 10,2.65,1195.0
96,Asus,Ultrabook,Zenbook UX430UA,14.0,Full HD,None,None,1920,1080,Intel,Core i7 7500U,2.7,8,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 620,Windows 10,1.25,1049.0
97,Acer,2 in 1 Convertible,Spin 5,13.3,Full HD,Present,Present,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,None,256.0,0.0,256.0,Intel,UHD Graphics 620,Windows 10,1.5,847.0
98,Dell,Notebook,Inspiron 3567,15.6,Full HD,None,None,1920,1080,Intel,Core i7 7500U,2.7,8,HDD,None,1000.0,0.0,1000.0,AMD,Radeon R5 M430,Linux,2.2,599.9
99,Dell,Notebook,Inspiron 3567,15.6,Full HD,None,None,1920,1080,Intel,Core i3 6006U,2.0,4,SSD,None,256.0,0.0,256.0,AMD,Radeon R5 M430,Linux,2.2,485.0
100,Asus,Notebook,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,15.6,Full HD,None,None,1920,1080,Intel,Core i3 7100U,2.4,6,SSD,None,256.0,0.0,256.0,Nvidia,GeForce 920M,Windows 10,2.0,577.0
102,HP,Gaming,Omen 15-ce007nv,15.6,Full HD,None,Present,1920,1080,Intel,Core i7 7700HQ,2.8,12,SSD,Present,128.0,1000.0,1128.0,Nvidia,GeForce GTX 1050,Windows 10,2.62,1249.0
103,HP,Notebook,15-bs017nv (i7-7500U/8GB/256GB/Radeon,15.6,Full HD,None,None,1920,1080,Intel,Core i7 7500U,2.7,8,SSD,None,256.0,0.0,256.0,AMD,Radeon 530,Windows 10,1.91,719.0
104,HP,Notebook,15-bw000nv (E2-9000e/4GB/500GB/Radeon,15.6,Full HD,None,None,1920,1080,AMD,E-Series E2-9000e,1.5,4,HDD,None,500.0,0.0,500.0,AMD,Radeon R2,Windows 10,2.1,349.0
105,Dell,Notebook,Inspiron 3576,15.6,Full HD,None,None,1920,1080,Intel,Core i5 8250U,1.6,8,HDD,None,1000.0,0.0,1000.0,AMD,Radeon 520,Linux,2.2,647.0
106,HP,Ultrabook,Envy 13-ad009n,13.3,Full HD,None,Present,1920,1080,Intel,Core i7 7500U,2.7,8,SSD,None,256.0,0.0,256.0,Nvidia,GeForce MX150,Windows 10,1.38,1119.0
107,Microsoft,Ultrabook,Surface Laptop,13.5,,Present,None,2256,1504,Intel,Core i5 7200U,2.5,8,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 620,Windows 10 S,1.252,1340.0
108,HP,Notebook,Pavilion 14-BK001nv,14.0,Full HD,None,Present,1920,1080,Intel,Core i5 7200U,2.5,6,SSD,None,256.0,0.0,256.0,Nvidia,GeForce 940MX,Windows 10,1.58,659.0
109,Lenovo,Notebook,Ideapad 310-15ISK,15.6,Full HD,None,None,1920,1080,Intel,Core i3 6006U,2.0,4,HDD,None,1000.0,0.0,1000.0,Intel,HD Graphics 520,Windows 10,1.85,414.9
110,Asus,Ultrabook,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,14.0,Full HD,None,Present,1920,1080,Intel,Core i7 7500U,2.7,8,SSD,None,256.0,0.0,256.0,Nvidia,GeForce 940MX,Windows 10,1.3,1193.0
111,MSI,Gaming,GP62M 7REX,15.6,Full HD,None,None,1920,1080,Intel,Core i7 7700HQ,2.8,16,SSD,Present,256.0,1000.0,1256.0,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.2,1299.0
112,Lenovo,Notebook,Thinkpad T470,14.0,Full HD,None,Present,1920,1080,Intel,Core i7 7500U,2.7,8,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 620,Windows 10,1.58,1480.0
113,Asus,Ultrabook,VivoBook S15,15.6,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,16,SSD,Present,256.0,1000.0,1256.0,Nvidia,GeForce MX150,Windows 10,1.5,1262.0
114,Dell,Ultrabook,XPS 13,13.3,Quad HD+,Present,None,3200,1800,Intel,Core i7 7560U,2.4,8,SSD,None,256.0,0.0,256.0,Intel,Iris Plus Graphics 640,Windows 10,1.23,1379.0
115,Lenovo,2 in 1 Convertible,ThinkPad Yoga,13.3,Full HD,Present,Present,1920,1080,Intel,Core i5 7200U,2.5,8,SSD,None,256.0,0.0,256.0,Intel,HD Graphics 620,Windows 10,1.37,1399.0
116,HP,Notebook,Probook 440,14.0,,None,Present,1366,768,Intel,Core i5 8250U,1.6,4,HDD,None,500.0,0.0,500.0,Intel,UHD Graphics 620,Windows 10,1.63,722.0
117,Dell,Ultrabook,XPS 13,13.3,Full HD,None,Present,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,None,256.0,0.0,256.0,Intel,UHD Graphics 620,Windows 10,1.21,1629.0
118,HP,2 in 1 Convertible,Spectre x360,13.3,Full HD,Present,Present,1920,1080,Intel,Core i5 8250U,1.6,8,SSD,None,256.0,0.0,256.0,Intel,UHD Graphics 620,Windows 10,1.26,1398.99
119,HP,Notebook,Probook 440,14.0,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,8,SSD,None,512.0,0.0,512.0,Intel,UHD Graphics 620,Windows 10,1.63,1084.0
120,Dell,Notebook,Inspiron 7570,15.6,Full HD,None,Present,1920,1080,Intel,Core i7 8550U,1.8,8,SSD,Present,256.0,1000.0,1256.0,Nvidia,GeForce 940MX,Windows 10,2.16,1130.33
121,Asus,Notebook,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,17.3,Full HD,None,None,1920,1080,Intel,Core i3 6006U,2.0,4,HDD,None,1000.0,0.0,1000.0,Nvidia,GeForce 920MX,Windows 10,2.0,564.0
122,Asus,Notebook,VivoBook S15,15.6,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,8,SSD,None,256.0,0.0,256.0,Nvidia,GeForce 940MX,Windows 10,1.7,1118.0
123,Acer,Notebook,Spin 3,15.6,Full HD,Present,Present,1920,1080,Intel,Core i3 7100U,2.4,6,HDD,None,1000.0,0.0,1000.0,Intel,HD Graphics 620,Windows 10,2.1,479.0
124,MSI,Gaming,GS63VR 7RG,15.6,Full HD,None,None,1920,1080,Intel,Core i7 7700HQ,2.8,16,SSD,Present,256.0,2000.0,2256.0,Nvidia,GeForce GTX 1070,Windows 10,1.8,2241.5
125,Lenovo,Notebook,IdeaPad 320-15IKBN,15.6,Full HD,None,None,1920,1080,Intel,Core i5 7200U,2.5,8,SSD,None,256.0,0.0,256.0,Nvidia,GeForce 940MX,No OS,2.2,629.0
126,HP,Notebook,Probook 470,17.3,Full HD,None,None,1920,1080,Intel,Core i7 8550U,1.8,16,SSD,None,512.0,0.0,512.0,Nvidia,GeForce 930MX ,Windows 10,2.5,1271.0
127,Acer,Notebook,Aspire 3,15.6,,,,1366,768,AMD,A9-Series 9420,3.0,4,SSD,None,256.0,0.0,256.0,AMD,Radeon R5,Windows 10,2.1,451.0
128,HP,Notebook,250 G6,15.6,,,,1366,768,Intel,Celeron Dual Core N3060,1.6,4,HDD,None,500.0,0.0,500.0,Intel,HD Graphics 400,No OS,1.86,259.0
